Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
425,0,"Oct  5, 2015",10.6K,"Oct  5, 2015",58.3 MB,22.5K,1,"1,780",http://netty.io/,org.clojars.smallrivers/netty,https://clojars.org/org.clojars.smallrivers/netty/versions/3.6.3.Test,https://github.com/netty/netty
46,0,"Oct  5, 2015",1.79K,"Oct  5, 2015",25.8 MB,9.08K,1,"1,114",http://storm-project.net,yieldbot/storm,https://clojars.org/yieldbot/storm/versions/0.8.3-wip3,https://github.com/nathanmarz/storm
46,47,"Oct  5, 2015",1.79K,"Oct  5, 2015",25.8 MB,9.08K,72,"1,114",http://storm-project.net,storm,https://clojars.org/storm/versions/0.9.0.1,https://github.com/nathanmarz/storm
46,0,"Oct  5, 2015",1.79K,"Oct  5, 2015",25.8 MB,9.08K,1,"1,114",http://storm-project.net,org.clojars.compuwizard123/storm,https://clojars.org/org.clojars.compuwizard123/storm/versions/0.9.0-wip16,https://github.com/nathanmarz/storm
144,0,"Oct  5, 2015",3.28K,"Oct  5, 2015",7.84 MB,8.97K,1,732,https://github.com/xetorthio/jedis,org.clojars.mattrepl/jedis,https://clojars.org/org.clojars.mattrepl/jedis/versions/1.3.2-SNAPSHOT,https://github.com/xetorthio/jedis
144,0,"Oct  5, 2015",3.28K,"Oct  5, 2015",7.84 MB,8.97K,1,732,https://github.com/xetorthio/jedis,org.clojars.raynes/jedis,https://clojars.org/org.clojars.raynes/jedis/versions/2.0.0-SNAPSHOT,https://github.com/xetorthio/jedis
144,48,"Oct  5, 2015",3.28K,"Oct  5, 2015",7.84 MB,8.97K,1,732,https://github.com/xetorthio/jedis,redis.clients/jedis,https://clojars.org/redis.clients/jedis/versions/1.5.3-SNAPSHOT,https://github.com/xetorthio/jedis
144,2,"Oct  5, 2015",3.28K,"Oct  5, 2015",7.84 MB,8.97K,1,732,https://github.com/xetorthio/jedis,org.clojars.aperiodic/jedis,https://clojars.org/org.clojars.aperiodic/jedis/versions/2.0.1,https://github.com/xetorthio/jedis
149,1,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,clojure-debug-build,https://clojars.org/clojure-debug-build/versions/1.3.0-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,com.yellerapp/clojure-unrolled-assoc,https://clojars.org/com.yellerapp/clojure-unrolled-assoc/versions/1.7.0-unrollassoc-SNAPSHOT,https://github.com/clojure/clojure
149,2,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,2,707,http://clojure.org,android/clojure,https://clojars.org/android/clojure/versions/1.5.0,https://github.com/clojure/clojure
149,0,"Nov 24, 2015",1.29K,"Nov 24, 2015",14.4 MB,8.19K,1,707,http://clojure.org,me.arrdem/clojure,https://clojars.org/me.arrdem/clojure/versions/1.8.0-31f98ed,https://github.com/clojure/clojure
149,1,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,3,707,http://clojure.org,brochure/clojure,https://clojars.org/brochure/clojure/versions/1.5.0-beta1,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,5,707,http://clojure.org,org.clojars.hiredman/clojure,https://clojars.org/org.clojars.hiredman/clojure/versions/1.4.0-master-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,ragge/clojure,https://clojars.org/ragge/clojure/versions/1.7.0-clj703-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,5,707,http://clojure.org,clojure-source,https://clojars.org/clojure-source/versions/1.3.0,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,clojars-test,https://clojars.org/clojars-test/versions/1.3.0,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,com.yellerapp/clojure,https://clojars.org/com.yellerapp/clojure/versions/1.7.0-master-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,4,707,http://clojure.org,com.yeller/clojure,https://clojars.org/com.yeller/clojure/versions/1.7.0-master-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,2,707,http://clojure.org,org.clojars.smartislav.clojure/clojure,https://clojars.org/org.clojars.smartislav.clojure/clojure/versions/1.4.0-git599a533,https://github.com/clojure/clojure
149,35.4K,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,7,707,http://clojure.org,org.clojure/clojure,https://clojars.org/org.clojure/clojure/versions/1.5.0-alpha3,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,7,707,http://clojure.org,ccw/clojure-ccw,https://clojars.org/ccw/clojure-ccw/versions/1.7.0-01,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,ithayer/clojure,https://clojars.org/ithayer/clojure/versions/1.5.0-alpha1,https://github.com/clojure/clojure
149,39,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,17,707,http://clojure.org,org.clojure-android/clojure,https://clojars.org/org.clojure-android/clojure/versions/1.7.0,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,com.cemerick/clojure,https://clojars.org/com.cemerick/clojure/versions/1.5.0-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,org.clojars.tcrawley/clojure,https://clojars.org/org.clojars.tcrawley/clojure/versions/1.6.0-clearthreadlocals,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,com.thelastcitadel/clojure,https://clojars.org/com.thelastcitadel/clojure/versions/1.6.0-master-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,2,707,http://clojure.org,org.bytopia/clojure,https://clojars.org/org.bytopia/clojure/versions/1.7.0-skummet-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Mar  7, 2016",1.29K,"Mar  7, 2016",14.4 MB,8.19K,1,707,http://clojure.org,prepor/clojure,https://clojars.org/prepor/clojure/versions/1.8.0,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,3,707,http://clojure.org,org.skummet/clojure-android,https://clojars.org/org.skummet/clojure-android/versions/1.7.0-alpha5-r2,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,3,707,http://clojure.org,mantle/clojure,https://clojars.org/mantle/clojure/versions/1.4.0-beta3m1,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,com.gfredericks/clojure,https://clojars.org/com.gfredericks/clojure/versions/1.6.0-CLJ1452,https://github.com/clojure/clojure
149,3,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,ibdknox/clojure,https://clojars.org/ibdknox/clojure/versions/1.5.0-ibdknox5,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,2,707,http://clojure.org,org.clojure-android/pumpet,https://clojars.org/org.clojure-android/pumpet/versions/1.7.0-RC1-r4,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,com.github.winterstream/clojure,https://clojars.org/com.github.winterstream/clojure/versions/1.5.0-master-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,org.clojure.frenchy64/clojure,https://clojars.org/org.clojure.frenchy64/clojure/versions/1.5.0-analyzenoreflect-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Jun 21, 2016",14.4 MB,8.19K,14,707,http://clojure.org,org.skummet/clojure,https://clojars.org/org.skummet/clojure/versions/1.7.0-r2,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,11,707,http://clojure.org,org.dunaj/clojure,https://clojars.org/org.dunaj/clojure/versions/1.7.0-dunaj-SNAPSHOT,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,3,707,http://clojure.org,ccw/clojure,https://clojars.org/ccw/clojure/versions/1.7.0-01,https://github.com/clojure/clojure
149,0,"Sep 26, 2018",1.29K,"Sep 26, 2018",14.4 MB,8.19K,1,707,http://clojure.org,org.clojars.michalmarczyk/clojure,https://clojars.org/org.clojars.michalmarczyk/clojure/versions/1.10.0-alpha7recurto1,https://github.com/clojure/clojure
149,0,"Oct  5, 2015",1.29K,"Oct  5, 2015",14.4 MB,8.19K,1,707,http://clojure.org,org.clojars.odekopoon/clojure,https://clojars.org/org.clojars.odekopoon/clojure/versions/1.6.0-RC1,https://github.com/clojure/clojure
64,1,"Oct  5, 2015",1.94K,"Jun 12, 2017",3.55 MB,6.53K,3,357,http://tootallnate.github.io/Java-WebSocket,org.java-websocket/java-websocket,https://clojars.org/org.java-websocket/java-websocket/versions/1.3.3,https://github.com/TooTallNate/Java-WebSocket
64,1,"Jan 16, 2018",1.94K,"Jan 16, 2018",3.55 MB,6.53K,3,357,http://tootallnate.github.io/Java-WebSocket,org.java-websocket/Java-WebSocket,https://clojars.org/org.java-websocket/Java-WebSocket/versions/1.3.3,https://github.com/TooTallNate/Java-WebSocket
162,0,"Oct  5, 2015",1.44K,"Oct  5, 2015",17.2 MB,5.3K,1,374,https://github.com/AsyncHttpClient/async-http-client,org.clojars.vgeshel/async-http-client,https://clojars.org/org.clojars.vgeshel/async-http-client/versions/1.5.0-SNAPSHOT,https://github.com/AsyncHttpClient/async-http-client
94,3,"Oct  5, 2015",1.64K,"Oct  5, 2015",2.26 MB,4.98K,1,319,https://github.com/scribejava/scribejava,org.scribe/scribe,https://github.com/fernandezpablo85/scribe-java,https://github.com/scribejava/scribejava
28,0,"Oct  5, 2015",2.2K,"Oct  5, 2015",826 KB,3.21K,1,276,http://stleary.github.io/JSON-java/index.html,com.redhat.qe/json-java,https://clojars.org/com.redhat.qe/json-java/versions/20110202,https://github.com/douglascrockford/JSON-java
131,4,"Oct  5, 2015",1.32K,"Oct  5, 2015",66.1 MB,2.29K,1,234,https://mongodb.github.io/mongo-java-driver,org.clojars.somnium/mongo-java-driver,https://clojars.org/org.clojars.somnium/mongo-java-driver/versions/1.1.0-SNAPSHOT,https://github.com/mongodb/mongo-java-driver
54,0,"Apr  9, 2019",280,"Apr  9, 2019",1.42 MB,1.93K,1,115,http://http-kit.org,circleci/http-kit,https://clojars.org/circleci/http-kit/versions/2.3.1-SNAPSHOT,https://github.com/http-kit/http-kit
54,0,"Oct  5, 2015",280,"Oct  5, 2015",1.42 MB,1.93K,1,115,http://http-kit.org,datasio/http-kit,https://clojars.org/datasio/http-kit/versions/2.1.18-wsMOD,https://github.com/http-kit/http-kit
54,0,"Oct  5, 2015",280,"Oct  5, 2015",1.42 MB,1.93K,1,115,http://http-kit.org,org.clojars.maxweber/http-kit,https://clojars.org/org.clojars.maxweber/http-kit/versions/2.1.16-keep-alive-mod,https://github.com/http-kit/http-kit
34,7,"Oct  5, 2015",494,"Oct  5, 2015",1.88 MB,1.9K,1,228,https://github.com/clearspring/stream-lib,com.clearspring.analytics/stream,https://clojars.org/com.clearspring.analytics/stream/versions/2.3.0-SNAPSHOT,https://github.com/clearspring/stream-lib
34,1,"Oct  5, 2015",494,"Oct  5, 2015",1.88 MB,1.9K,1,228,https://github.com/clearspring/stream-lib,ashenfad.com.clearspring.analytics/stream,https://clojars.org/ashenfad.com.clearspring.analytics/stream/versions/2.3.0-SNAPSHOT,https://github.com/clearspring/stream-lib
64,0,"Oct  5, 2015",426,"Oct  5, 2015",3.01 MB,1.78K,1,162,https://github.com/zeromq/jeromq,zuldi/jeromq,https://clojars.org/zuldi/jeromq/versions/0.3.0,https://github.com/zeromq/jeromq
69,52,"Oct  5, 2015",565,"Oct  5, 2015",16.1 MB,1.77K,1,154,https://github.com/FasterXML/jackson-core,com.fasterxml.jackson.core/jackson-core,https://clojars.org/com.fasterxml.jackson.core/jackson-core/versions/2.3.1-SNAPSHOT,https://github.com/FasterXML/jackson-core
29,0,"Oct  5, 2015",669,"Oct  5, 2015",1.35 MB,1.74K,1,210,http://notnoop.github.com/java-apns,com.vitallabs/apns,https://clojars.org/com.vitallabs/apns/versions/1.0.0.Beta5-SNAPSHOT,https://github.com/notnoop/java-apns
29,0,"Oct  5, 2015",669,"Oct  5, 2015",1.35 MB,1.74K,1,210,http://notnoop.github.com/java-apns,bbirec/apns,https://clojars.org/bbirec/apns/versions/0.2.4-SNAPSHOT,https://github.com/notnoop/java-apns
52,0,"May  1, 2019",699,"May  1, 2019",4.46 MB,1.72K,1,188,https://github.com/JSQLParser/JSqlParser/wiki,com.jsqlparser/jsqlparser,https://github.com/JSQLParser/JSqlParser,https://github.com/JSQLParser/JSqlParser/wiki
170,1,"Oct  5, 2015",760,"Oct  5, 2015",6.71 MB,1.59K,1,108,https://github.com/docker-java/docker-java,com.github.docker-java/docker-java,https://clojars.org/com.github.docker-java/docker-java/versions/0.9.1-SNAPSHOT,https://github.com/docker-java/docker-java
47,0,"Oct  5, 2015",365,"Oct  5, 2015",7.53 MB,1.5K,1,115,https://github.com/shikhar/sshj,org.clojars.jkandasa/sshj,https://clojars.org/org.clojars.jkandasa/sshj/versions/0.9.0-SNAPSHOT,https://github.com/shikhar/sshj
11,0,"Oct  5, 2015",372,"Oct  5, 2015",1.97 MB,1.48K,2,144,https://github.com/EsotericSoftware/kryonet,org.clojars.oskarkv/kryonet,https://clojars.org/org.clojars.oskarkv/kryonet/versions/2.21.0-SNAPSHOT,https://github.com/EsotericSoftware/kryonet
62,0,"Oct  5, 2015",484,"Oct  5, 2015",2.16 MB,1.46K,3,68,https://github.com/pinterest/secor,helpshift/secor,https://clojars.org/helpshift/secor/versions/0.1.1,https://github.com/pinterest/secor
148,0,"Oct  5, 2015",800,"Oct  5, 2015",28.6 MB,1.43K,1,173,http://testng.org,testng-bigtest,https://clojars.org/testng-bigtest/versions/6.8.2-SNAPSHOT,https://github.com/cbeust/testng
6,3,"Oct  5, 2015",95,"Mar  7, 2016",3.23 MB,904,12,65,http://nginx-clojure.github.io,nginx-clojure,https://clojars.org/nginx-clojure/versions/0.4.4,https://github.com/nginx-clojure/nginx-clojure
26,0,"Oct  5, 2015",183,"Oct  5, 2015",25 MB,792,2,74,http://webbitserver.org/,org.clojars.dsabanin/webbit,https://clojars.org/org.clojars.dsabanin/webbit/versions/0.4.16,https://github.com/webbit/webbit
88,249,"Oct  5, 2015",516,"Oct  5, 2015",16 MB,771,7,82,http://jdbc.postgresql.org,postgresql,https://clojars.org/postgresql/versions/0.1.0-SNAPSHOT,https://github.com/pgjdbc/pgjdbc
77,0,"Oct  5, 2015",403,"Oct  5, 2015",55.7 MB,766,1,97,http://www.jgroups.org,org.nickmbailey/jgroups,https://clojars.org/org.nickmbailey/jgroups/versions/3.3.0.Alpha1,https://github.com/belaban/JGroups
77,0,"Oct  5, 2015",403,"Jul  8, 2016",55.7 MB,766,5,97,http://www.jgroups.org,org.clojars.hoangelos/jgroups,https://clojars.org/org.clojars.hoangelos/jgroups/versions/3.6.0-Alpha1,https://github.com/belaban/JGroups
15,0,"Oct  5, 2015",422,"Oct  5, 2015",10.7 MB,741,1,114,http://www.datameer.com,org.clojars.jasonjckn/zkclient,https://clojars.org/org.clojars.jasonjckn/zkclient/versions/0.1,https://github.com/sgroschupf/zkclient
69,0,"Oct  5, 2015",322,"Jan 16, 2016",39.5 MB,680,5,56,http://prettyprint.me/2010/02/23/hector-a-java-cassandra-client/,org.clojars.thobbs/hector,https://clojars.org/org.clojars.thobbs/hector/versions/1.1-3-frame-size-snapshot,https://github.com/hector-client/hector
50,1,"Oct  5, 2015",177,"Oct  5, 2015",3.29 MB,678,12,55,http://jline.github.com/jline2/,org.clojars.trptcolin/jline,https://clojars.org/org.clojars.trptcolin/jline/versions/2.6-SNAPSHOT,https://github.com/jline/jline2
35,8,"Oct  5, 2015",135,"Oct  5, 2015",69.7 MB,592,1,47,https://rometools.github.io/rome,com.rometools/rome,https://clojars.org/com.rometools/rome/versions/2.0.0-SNAPSHOT,https://github.com/rometools/rome
69,0,"Oct  7, 2016",366,"Oct  7, 2016",1.4 MB,550,1,77,http://www.zeromq.org,org.zmapi/jzmq-parent,https://clojars.org/org.zmapi/jzmq-parent/versions/f831846-SNAPSHOT,https://github.com/zeromq/jzmq
69,0,"Oct  5, 2015",366,"Oct  5, 2015",1.4 MB,550,1,77,http://www.zeromq.org,org.clojars.mikejs/jzmq-native-deps,https://clojars.org/org.clojars.mikejs/jzmq-native-deps/versions/2.0.7-SNAPSHOT,https://github.com/zeromq/jzmq
69,0,"Oct  5, 2015",366,"Oct  5, 2015",1.4 MB,550,1,77,http://www.zeromq.org,org.clojars.mikejs/jzmq,https://clojars.org/org.clojars.mikejs/jzmq/versions/2.0.7-SNAPSHOT,https://github.com/zeromq/jzmq
69,0,"Oct  5, 2015",366,"Oct  5, 2015",1.4 MB,550,1,77,http://www.zeromq.org,trevorbernard/jzmq,https://clojars.org/trevorbernard/jzmq/versions/2.1.0,https://github.com/zeromq/jzmq
69,0,"Oct  5, 2015",366,"Oct  5, 2015",1.4 MB,550,1,77,http://www.zeromq.org,org.clojars.mikejs/jzmq-macosx-native-deps,https://clojars.org/org.clojars.mikejs/jzmq-macosx-native-deps/versions/2.0.7-SNAPSHOT,https://github.com/zeromq/jzmq
69,2,"Oct  5, 2015",366,"Oct  5, 2015",1.4 MB,550,1,77,http://www.zeromq.org,com.keminglabs/jzmq,https://clojars.org/com.keminglabs/jzmq/versions/a6c1706,https://github.com/zeromq/jzmq
9,0,"Oct  5, 2015",50,"Oct  5, 2015",2.9 MB,528,5,43,https://github.com/nathanmarz/elephantdb,leiningen.core.project/elephantdb,https://clojars.org/leiningen.core.project/elephantdb/versions/0.5.1,https://github.com/nathanmarz/elephantdb
9,1,"Oct  5, 2015",50,"Oct  5, 2015",2.9 MB,528,28,43,https://github.com/nathanmarz/elephantdb,elephantdb,https://clojars.org/elephantdb/versions/0.5.2-SNAPSHOT,https://github.com/nathanmarz/elephantdb
13,0,"Oct  5, 2015",82,"Oct  5, 2015",19.3 MB,507,1,63,http://docs.paralleluniverse.co/comsat,co.paralleluniverse/comsat-clj-http,https://clojars.org/co.paralleluniverse/comsat-clj-http/versions/0.4.0,https://github.com/puniverse/comsat
13,0,"Oct  5, 2015",82,"Apr 10, 2016",19.3 MB,507,4,63,http://docs.paralleluniverse.co/comsat,co.paralleluniverse/comsat-ring-jetty9,https://clojars.org/co.paralleluniverse/comsat-ring-jetty9/versions/0.7.0,https://github.com/puniverse/comsat
13,1,"Oct  5, 2015",82,"Jul 20, 2016",19.3 MB,507,4,63,http://docs.paralleluniverse.co/comsat,co.paralleluniverse/comsat-httpkit,https://clojars.org/co.paralleluniverse/comsat-httpkit/versions/0.7.0,https://github.com/puniverse/comsat
8,0,"Oct  5, 2015",175,"Oct  5, 2015",6.44 MB,494,8,34,https://github.com/kstyrc/embedded-redis,redis.embedded/embedded-redis,https://clojars.org/redis.embedded/embedded-redis/versions/embedded-redis-0.3,https://github.com/kstyrc/embedded-redis
16,0,"Oct  5, 2015",134,"Oct  5, 2015",47.8 MB,477,1,41,http://jblas.org,com.quantisan/jblas,https://clojars.org/com.quantisan/jblas/versions/1.2.2-SNAPSHOT,https://github.com/mikiobraun/jblas
3,1,"Oct  5, 2015",159,"Oct  5, 2015",450 KB,446,1,35,https://github.com/belerweb/pinyin4j,ruiyun/pinyin4j,https://clojars.org/ruiyun/pinyin4j/versions/2.5.0,https://github.com/belerweb/pinyin4j
3,0,"Oct  5, 2015",32,"Oct  5, 2015",13.9 MB,442,1,31,https://github.com/ftomassetti/effectivejava,effectivejava,https://clojars.org/effectivejava/versions/0.1.3-SNAPSHOT,https://github.com/ftomassetti/effectivejava
5,34,"Oct  5, 2015",96,"Oct  5, 2015",1.28 MB,405,1,42,http://markdownj.org,org.markdownj/markdownj,https://clojars.org/org.markdownj/markdownj/versions/0.3.0-1.0.2b4,https://github.com/myabc/markdownj
9,2,"Oct  5, 2015",145,"Oct  5, 2015",9.68 MB,397,1,25,http://natty.joestelmach.com/,com.joestelmach/natty,https://clojars.org/com.joestelmach/natty/versions/0.6-SNAPSHOT,https://github.com/joestelmach/natty
3,0,"Oct  5, 2015",91,"Oct  5, 2015",13.2 MB,382,4,43,https://github.com/pmerienne/trident-ml,com.github.pmerienne/trident-ml,https://clojars.org/com.github.pmerienne/trident-ml/versions/0.0.4,https://github.com/pmerienne/trident-ml
26,4,"Oct  5, 2015",99,"Oct  5, 2015",2.31 MB,300,1,33,http://la4j.org,org.la4j/la4j,https://clojars.org/org.la4j/la4j/versions/0.3.5,https://github.com/vkostyukov/la4j
24,0,"Oct  5, 2015",99,"Sep  9, 2016",266 KB,270,10,62,https://github.com/flipkart-incubator/zjsonpatch,com.flipkart.zjsonpatch/zjsonpatch,https://clojars.org/com.flipkart.zjsonpatch/zjsonpatch/versions/0.2.4,https://github.com/flipkart-incubator/zjsonpatch
56,5,"Oct  5, 2015",161,"Oct  5, 2015",26.8 MB,265,1,101,https://github.com/basho/riak-java-client,com.basho.riak/riak-client,https://clojars.org/com.basho.riak/riak-client/versions/1.0.2-SNAPSHOT,https://github.com/basho/riak-java-client
3,32,"Oct  5, 2015",7,"Oct  5, 2015",41 KB,262,7,14,https://github.com//,iota,https://clojars.org/iota/versions/1.1.3,https://github.com//
25,0,"Feb 20, 2016",52,"Jul  8, 2016",11 MB,259,2,39,https://github.com/google/closure-stylesheets,org.clojars.otabat/closure-stylesheets,https://clojars.org/org.clojars.otabat/closure-stylesheets/versions/closure-stylesheets.jar,https://github.com/google/closure-stylesheets
105,4,"Oct  5, 2015",3,"Oct  5, 2015",8.73 MB,235,5,24,https://github.com/galdolber/clojure-objc,galdolber/clojure-objc,https://clojars.org/galdolber/clojure-objc/versions/1.7.0-beta2,https://github.com/galdolber/clojure-objc
3,0,"Oct 10, 2018",119,"Oct 10, 2018",1.78 MB,231,1,43,https://github.com/reficio/soap-ws,org.reficio/soap-ws,https://clojars.org/org.reficio/soap-ws/versions/1.0.0-SNAPSHOT,https://github.com/reficio/soap-ws
39,0,"Oct  5, 2015",71,"Oct  5, 2015",541 KB,218,1,17,https://github.com/talios/clojure-maven-plugin,ccw/clojure-maven-plugin,https://clojars.org/ccw/clojure-maven-plugin/versions/1.3.24-SNAPSHOT,https://github.com/talios/clojure-maven-plugin
1,0,"Feb  7, 2018",128,"Feb  7, 2018",127 KB,211,1,36,https://github.com/pusuo/patchca,net.pusuo/patchca,https://clojars.org/net.pusuo/patchca/versions/0.5.0,https://github.com/pusuo/patchca
5,0,"Oct  5, 2015",25,"Oct  5, 2015",13 MB,212,1,35,https://github.com/guokr/simbase,com.guokr/simbase,https://clojars.org/com.guokr/simbase/versions/0.0.0,https://github.com/guokr/simbase
20,0,"Feb 14, 2018",69,"Feb 14, 2018",4.53 MB,206,1,26,https://github.com/nats-io/java-nats,employeerepublic/jnats,https://clojars.org/employeerepublic/jnats/versions/1.0.1,https://github.com/nats-io/java-nats
3,0,"Oct  5, 2015",183,"Oct  5, 2015",531 KB,203,3,47,https://github.com/wurstmeister/storm-kafka-0.8-plus,net.wurstmeister.storm/storm-kafka-0.8-plus,https://clojars.org/net.wurstmeister.storm/storm-kafka-0.8-plus/versions/0.4.0,https://github.com/wurstmeister/storm-kafka-0.8-plus
3,0,"Oct  5, 2015",183,"Oct  5, 2015",531 KB,203,1,47,https://github.com/wurstmeister/storm-kafka-0.8-plus,org.clojars.wurstmeister/storm-kafka-0.8-plus,https://clojars.org/org.clojars.wurstmeister/storm-kafka-0.8-plus/versions/0.1.0,https://github.com/wurstmeister/storm-kafka-0.8-plus
3,0,"Oct  5, 2015",183,"Oct  5, 2015",531 KB,203,1,47,https://github.com/wurstmeister/storm-kafka-0.8-plus,com.miguno/storm-kafka-0.8-plus,https://clojars.org/com.miguno/storm-kafka-0.8-plus/versions/0.5.0-SNAPSHOT,https://github.com/wurstmeister/storm-kafka-0.8-plus
3,0,"Oct  5, 2015",183,"Oct  5, 2015",531 KB,203,1,47,https://github.com/wurstmeister/storm-kafka-0.8-plus,com.miguno/storm-kafka-0.8-plus_2.10,https://clojars.org/com.miguno/storm-kafka-0.8-plus_2.10/versions/0.5.0-SNAPSHOT,https://github.com/wurstmeister/storm-kafka-0.8-plus
3,0,"Oct  5, 2015",183,"Oct  5, 2015",531 KB,203,1,47,https://github.com/wurstmeister/storm-kafka-0.8-plus,org.clojars.maxweber/storm-kafka-0.8-plus,https://clojars.org/org.clojars.maxweber/storm-kafka-0.8-plus/versions/0.5.0-SNAPSHOT,https://github.com/wurstmeister/storm-kafka-0.8-plus
17,0,"Sep  9, 2016",52,"Sep 14, 2016",71.3 KB,196,3,10,https://github.com/technomancy/s3-wagon-private,mayvenn/s3-wagon-private,https://clojars.org/mayvenn/s3-wagon-private/versions/1.3.2,https://github.com/technomancy/s3-wagon-private
17,8,"Oct  5, 2015",52,"Aug 28, 2018",71.3 KB,196,17,10,https://github.com/technomancy/s3-wagon-private,s3-wagon-private,https://clojars.org/s3-wagon-private/versions/1.3.2,https://github.com/technomancy/s3-wagon-private
17,0,"Oct 27, 2016",52,"Oct 27, 2016",71.3 KB,196,1,10,https://github.com/technomancy/s3-wagon-private,org.clojars.rymndhng/s3-wagon-private,https://clojars.org/org.clojars.rymndhng/s3-wagon-private/versions/1.3.0-alpha1,https://github.com/technomancy/s3-wagon-private
17,0,"Jun 27, 2016",52,"Jun 27, 2016",71.3 KB,196,16,10,https://github.com/technomancy/s3-wagon-private,avant/s3-wagon-private,https://clojars.org/avant/s3-wagon-private/versions/1.2.4,https://github.com/technomancy/s3-wagon-private
17,0,"Apr 17, 2019",52,"Apr 17, 2019",71.3 KB,196,1,10,https://github.com/technomancy/s3-wagon-private,com.github.sewiendl/s3-wagon-private,https://clojars.org/com.github.sewiendl/s3-wagon-private/versions/1.3.3-SNAPSHOT,https://github.com/technomancy/s3-wagon-private
10,5,"Oct  5, 2015",79,"Oct  5, 2015",947 KB,193,10,35,https://github.com/nathanmarz/dfs-datastores,backtype/dfs-datastores,https://clojars.org/backtype/dfs-datastores/versions/1.2.0,https://github.com/nathanmarz/dfs-datastores
10,5,"Oct  5, 2015",79,"Oct  5, 2015",947 KB,193,1,35,https://github.com/nathanmarz/dfs-datastores,com.backtype/dfs-datastores,https://clojars.org/com.backtype/dfs-datastores/versions/1.3.6,https://github.com/nathanmarz/dfs-datastores
